epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.2369,2.61726,4.23462,2.74329,0.37939,0.04525,0.00099,0.00025,3.15243,6.44928,3.60688,0.000994595,0.000994595,0.00153514
2,86.9963,2.60283,3.84847,2.72343,0.52499,0.04128,0.01613,0.00446,2.73775,6.35256,2.96035,0.000967,0.000967,0.000967
3,125.897,2.57688,3.74124,2.70125,0.15082,0.03274,0.02052,0.00673,2.6596,4.45042,2.85092,0.000934,0.000934,0.000934
4,164.671,2.49884,3.66573,2.64844,0.1794,0.05726,0.0429,0.01463,2.48236,4.01639,2.74903,0.000901,0.000901,0.000901
5,201.779,2.4159,3.48403,2.55839,0.15861,0.06166,0.03447,0.01276,2.55211,3.97792,2.75093,0.000868,0.000868,0.000868
6,239.234,2.36449,3.47657,2.50607,0.21039,0.07382,0.05648,0.02034,2.43167,3.91195,2.64256,0.000835,0.000835,0.000835
7,276.187,2.26524,3.32678,2.40446,0.43812,0.05406,0.05304,0.01882,2.45524,3.8099,2.64378,0.000802,0.000802,0.000802
8,313.399,2.25414,3.31351,2.38401,0.42356,0.05456,0.05524,0.02289,2.35208,3.89809,2.60456,0.000769,0.000769,0.000769
9,350.446,2.20962,3.26364,2.35484,0.25362,0.07661,0.05577,0.02309,2.35061,3.84698,2.58639,0.000736,0.000736,0.000736
10,388.316,2.16954,3.16026,2.31047,0.26254,0.09559,0.07025,0.02874,2.32,3.7224,2.62255,0.000703,0.000703,0.000703
11,425.625,2.15076,3.17553,2.29725,0.30001,0.09232,0.07708,0.0341,2.33398,3.66072,2.55828,0.00067,0.00067,0.00067
12,463.103,2.14194,3.07241,2.26976,0.23792,0.11045,0.08073,0.03794,2.29707,3.70969,2.50874,0.000637,0.000637,0.000637
13,500.675,2.09708,3.04682,2.23716,0.2711,0.1024,0.08034,0.03811,2.27433,3.72495,2.56041,0.000604,0.000604,0.000604
14,537.496,2.04655,2.98639,2.21472,0.34352,0.09365,0.09027,0.04466,2.24171,3.59427,2.5164,0.000571,0.000571,0.000571
15,575.382,2.01964,2.94511,2.19718,0.26442,0.09409,0.08962,0.04372,2.26594,3.57254,2.49794,0.000538,0.000538,0.000538
16,614.953,2.01085,2.9446,2.19784,0.3306,0.0813,0.09403,0.04751,2.26142,3.64812,2.52748,0.000505,0.000505,0.000505
17,651.832,1.9847,2.8972,2.17043,0.26324,0.10891,0.09409,0.04758,2.21998,3.59107,2.4665,0.000472,0.000472,0.000472
18,689.953,1.9616,2.81497,2.1388,0.24861,0.13171,0.10021,0.05158,2.22752,3.56384,2.4645,0.000439,0.000439,0.000439
19,726.994,1.96406,2.81886,2.11384,0.28861,0.08591,0.09916,0.05577,2.17119,3.51426,2.4146,0.000406,0.000406,0.000406
20,764.208,1.90372,2.77574,2.07071,0.29467,0.1091,0.11289,0.06312,2.15662,3.46583,2.41486,0.000373,0.000373,0.000373
21,801.366,1.87505,2.73065,2.04633,0.31299,0.12623,0.12102,0.06608,2.13979,3.49416,2.40459,0.00034,0.00034,0.00034
22,838.592,1.85431,2.70592,2.04872,0.34112,0.11885,0.1155,0.06483,2.15533,3.37983,2.37674,0.000307,0.000307,0.000307
23,875.9,1.8227,2.62895,2.02035,0.29926,0.11127,0.11134,0.06721,2.14568,3.51418,2.39964,0.000274,0.000274,0.000274
24,912.951,1.82025,2.57864,2.00878,0.37496,0.0978,0.11059,0.06473,2.13481,3.46555,2.35685,0.000241,0.000241,0.000241
25,950.047,1.78429,2.59394,1.99418,0.32527,0.1161,0.12188,0.06998,2.13344,3.43148,2.3539,0.000208,0.000208,0.000208
26,987.412,1.7704,2.53101,1.97183,0.32616,0.11904,0.13068,0.07568,2.1258,3.35223,2.33599,0.000175,0.000175,0.000175
27,1024.67,1.74386,2.48132,1.94894,0.33369,0.1286,0.13557,0.07844,2.11029,3.3167,2.31901,0.000142,0.000142,0.000142
28,1061.45,1.76254,2.5168,1.97213,0.31931,0.13851,0.13383,0.08113,2.10414,3.32081,2.30672,0.000109,0.000109,0.000109
29,1099.59,1.71831,2.46178,1.93765,0.31889,0.1359,0.13316,0.0823,2.10281,3.27449,2.304,7.6e-05,7.6e-05,7.6e-05
30,1137.69,1.71509,2.49657,1.94391,0.31051,0.14229,0.1321,0.08121,2.10552,3.29448,2.29513,4.3e-05,4.3e-05,4.3e-05
